<<<<<<< HEAD
report_id,recommendation_id,recipient,made,recommendation,recommendation_text,extra_recommendation_context,reply_text,response_category
2012_001,012/13,MoT,2013-10-11,"The post-mortem toxicology results for the pilot in the Carterton hot air balloon showed that he had a positive result for tetrahydrocannabinol (a constituent of cannabis). It was likely that this was due to 2 factors: first, the pilot smoking cannabis shortly before the accident flight; and, second, residual tetrahydrocannabinol, from ingesting cannabis over a longer term, redistributing in the pilotâ€™s blood after his death.
=======
On 23 October "
228,2013_108,023/13,"the Commission recommended that the Chief Executive of KiwiRail takes the necessary action to reinforce to all staff the existing rule forbidding non-operational conversation with train drivers, and use some means of monitoring compliance with the rule.","Driver distraction has the potential to contribute to or cause serious accidents and incidents.

In this case the driver of the passenger train was distracted by engaging in a non-operational conversation with the train manager, and failed to stop his train at a red signal.

On 23 October 2013, "
229,2011_106,026/13,The Commission recommends that the Chief Executive of the NZ Transport Agency take all appropriate steps to ensure that KiwiRail addresses the above recommendation.,"It is important that KiwiRail addresses the above recommendation, which is aimed at addressing the safety issues examined in this report. The NZ Transport Agency has various powers under the Railways Act 2005 to monitor and ensure KiwiRail's performance and compliance.

"
230,2011_106,025/13,"The Commission recommends that the Chief Executive of KiwiRail ensure that appropriate mechanisms are in place, and are being applied, to minimise the likelihood of train controllers making assumptions about the locations of trains and other rail vehicles.","The train controller in this case made an assumption that the passenger train had passed a particular location based on information from the person-in-charge. Rather than verifying the train's location, the train controller acted on his assumption and authorised the person-in-charge to occupy a section of track that the passenger train was approaching.

Train controllers must not make assumptions about the locations of trains without first verifying their locations. Unless KiwiRail and train controllers remain alert to this risk and take all appropriate steps to minimise the likelihood of train controllers making assumptions, further incidents could occur, perhaps with more serious consequences.

"
231,2013_108,022/13,"the Commission recommended that the Chief Executive of KiwiRail install some form of protection that will automatically stop a train that has overrun Signal 38 in the Wellington Station area, and that he reviews other signalling arrangements in busy, high risk metro passenger areas to ensure the same arrangements are in place to minimise the risk of train collisions for the same or similar reasons.","The near collision occurred at a convergence of several busy metro passenger lines and there was no automatic protection applied to preventing such a collision in the event of a driver failing to stop at Signal 38.

Equivalent signals protecting other lines into Wellington station have been fitted with signal trips that automatically apply a train's brakes in the event of it overrunning the signal. A signal trip fitted to Signal 38 would have automatically applied the passenger train brakes in this case.

On 23 October 2013, "
232,2012_001,012/13,"The post-mortem toxicology results for the pilot in the Carterton hot air balloon showed that he had a positive result for tetrahydrocannabinol (a constituent of cannabis). It was likely that this was due to 2 factors: first, the pilot smoking cannabis shortly before the accident flight; and, second, residual tetrahydrocannabinol, from ingesting cannabis over a longer term, redistributing in the pilotâ€™s blood after his death.
>>>>>>> origin/main

The Commission found that the accident was caused by errors of judgement by the pilot. It also found that it could not exclude the possibility that the pilot's performance had been impaired as a result of ingesting cannabis.

This is not the first time that the Commission has inquired into occurrences where persons operating aircraft, vessels or rail vehicles, or where persons performing functions directly relevant to the operation of these, have tested positive for performance-impairing substances such as illicit drugs and alcohol. The Commission is increasingly seeing more occurrences where the use of performance-impairing substances is a feature.

Unless this safety issue is properly addressed, further occurrences where the use of performance-impairing substances is a contributing factor will occur. Legislative or regulatory reform in this area is necessary.

The Commission, therefore, recommends that the Secretary for Transport complete, as a matter of priority, all necessary work that will support the introduction of appropriate legislation or rules that will:
- prescribe allowable maximum levels for alcohol
- prohibit persons from operating an aircraft, vessel or rail vehicle if they are impaired by drugs
- require operators to implement drug and alcohol detection and deterrence regimes, including random testing
- prescribe post-occurrence testing requirements for drugs and alcohol.

This legislation or these rules should apply:
- across the aviation, maritime and rail transport modes
<<<<<<< HEAD
- to persons operating an aircraft or a marine craft for recreational purposes.","The post-mortem toxicology results for the pilot in the Carterton hot air balloon showed that he had a positive result for tetrahydrocannabinol (a constituent of cannabis). It was likely that this was due to 2 factors: first, the pilot smoking cannabis shortly before the accident flight; and, second, residual tetrahydrocannabinol, from ingesting cannabis over a longer term, redistributing in the pilotâ€™s blood after his death.

The Commission found that the accident was caused by errors of judgement by the pilot. It also found that it could not exclude the possibility that the pilot's performance had been impaired as a result of ingesting cannabis.

This is not the first time that the Commission has inquired into occurrences where persons operating aircraft, vessels or rail vehicles, or where persons performing functions directly relevant to the operation of these, have tested positive for performance-impairing substances such as illicit drugs and alcohol. The Commission is increasingly seeing more occurrences where the use of performance-impairing substances is a feature.

Unless this safety issue is properly addressed, further occurrences where the use of performance-impairing substances is a contributing factor will occur. Legislative or regulatory reform in this area is necessary.

The Commission, therefore, recommends that the Secretary for Transport complete, as a matter of priority, all necessary work that will support the introduction of appropriate legislation or rules that will:
- prescribe allowable maximum levels for alcohol
- prohibit persons from operating an aircraft, vessel or rail vehicle if they are impaired by drugs
- require operators to implement drug and alcohol detection and deterrence regimes, including random testing
- prescribe post-occurrence testing requirements for drugs and alcohol.

This legislation or these rules should apply:
- across the aviation, maritime and rail transport modes
- to persons operating an aircraft or a marine craft for recreational purposes.",,"Below is the Ministry's response to the final recommendation, noting at this date that I have not seen the final report.

I wish to note that the determination of the need for legislation or rules is a matter for the Minister of Transport, rather than the Secretary for Transport. The Ministry's response to the recommendation is prepared with this in mind.

I also note that the inquiry's findings conclude that the accident was caused by errors of judgement by the pilot, but include the possibility that the pilot may not have been impaired. Before I respond to the recommendation I would like to take this opportunity to comment on relevant work in the transport sector.

Drug and alcohol impairment in the aviation, maritime and rail sectors

Alcohol and drug impairment in the transport sector is an issue that the Ministry takes very seriously. Impairment in driving is one of the largest causes of serious road crashes in New Zealand, contributing to about a third of all road deaths every year.

The impact of drug and alcohol impairment on the aviation, rail and maritime sectors has been an area of focus for the Ministry. Following the review of safety practices within the adventure and outdoors commercial sectors conducted by the previous Department of Labour, in August 2012 the Government agreed to amendments to aviation and maritime rules to improve safety in these sectors. These amendments are now in force and include a requirement for adventure activity operators to include a description of how they will manage the safety risks associated with drug or alcohol impairment in their relevant safety plans (Organisational Management Systems for aviation and Safe Operational Plans for maritime).

To assist maritime operators, Maritime New Zealand has produced safety guidelines for managing risks related to alcohol and other drugs for raft and jet boat operators. The Maritime Transport Amendment Bill 2013, which has had its third reading and will come into force in the next few weeks, will implement the internationally applicable alcohol limit for merchant seafarers established by the 2010 amendments to the International Convention on Standards of Training, Certification and Watchkeeping for Seafarers, 1995 (STCW).

The Civil Aviation Authority has worked closely with adventure aviation operators to support the development and implementation of drug and alcohol management policies that include testing. A detailed advisory circular for adventure aviation operators outlines the expectations for drug and alcohol monitoring and management, and what acceptable policies should include.

Many transport operators, particularly those involved in transporting members of the public, already have drug and alcohol management policies in place in the workplace. Operators regard this as good business practice and meeting the duties of employers and employees set out in the Health and Safety in Employment Act 1992. Some operators that are involved in safety sensitive activities, such as Air New Zealand, Qantas, KiwiRail and Maersk Line have also introduced drug and alcohol policies involving testing regimes.

Statistics from the New Zealand Drug Detection Agency show that the number of workplace drug tests carried out in New Zealand increased 31 percent between 2011 and 2012, with an increase in alcohol tests of 32 percent over the same period. These results suggest that employers in safety sensitive areas, including transport, are taking workplace safety very seriously.

Drug testing on the road

The drug driving regime has been in force for just under four years. The Ministry has a project on its work programme to investigate developments in drug screening and testing technologies (and associated issues) that have occurred over this time. This work is due to take place during 2014.

Post accident testing

Aviation, maritime, and rail legislation does not currently provide for transport agencies, the Commission, or Police (except in relation to the STCW alcohol regime for international or large domestic vessels) to conduct toxicological tests following an accident. Only when a fatality occurs can a Coroner test for the presence and level of drugs and alcohol in the deceased as part of the post mortem investigation.

As a result there is a lack of New Zealand data to quantify the extent of alcohol and drug use in the aviation, maritime, and rail sectors, and its links to accidents and incidents. In comparison, the road sector's drug and random alcohol testing regime provides the necessary data to develop an understanding of the links between drug and alcohol use and accidents and incidents.

Compulsory post accident testing would provide valuable data on alcohol and drug use within the aviation, maritime and rail sectors in New Zealand. Aggregated data from the test results would inform future policy options, including the potential introduction of maximum limits and testing requirements, as noted in the Commission's recommendation.

In order to establish whether there is a case for a compulsory post accident drug and alcohol testing regime, the Ministry has commissioned the New Zealand Institute of Economic Research (NZIER) to investigate and report on:
- criteria to determine which accidents (and incidents) should be covered
- who should be tested
- the agency responsible for undertaking the testing
- the testing procedures to be used (with reference to current national and international standards) in order to safeguard the integrity and accuracy of the testing
- an offences and penalties regime for refusing to be tested or interfering with test results or samples
- the agency responsible for the data collection
- the cost of implementing a compulsory regime
- the legislative changes required to give effect to a compulsory regime.

Once we have the NZIER report, we will brief the Minister of Transport on the options. We expect to be able to do this in December 2013. The Minister may then need to take a paper to Cabinet regarding any further work.

Response to recommendation

This brings me to the Ministry response to your recommendation that the Ministry completes the work necessary to support the introduction of legislation or rules that will:
1. Prescribe allowable maximum levels for alcohol;
2. Prohibit persons from operating an aircraft, vessel or rail vehicle if they are impaired by drugs;
3. Require operators to implement drug and alcohol detection and deterrence regimes, including random testing; and
4. Prescribe post occurrence testing requirements for drugs and alcohol.

The completion of the first three parts of the recommendation is dependent on the fourth, prescribing post occurrence testing requirements for drugs and alcohol. As I have discussed earlier in this letter, the Ministry of Transport is already undertaking work, as a matter of priority, to determine the case for a compulsory post accident testing regime.

We will be able to confirm the next steps for post accident testing once the Minister has considered our advice. Of course we will keep the Commission informed of the progress of the post accident testing proposal, as well as any other work that relates to the Commissionâ€™s recommendation.

Finally, like the Commission, the Ministry also believes there should be zero tolerance of operator impairment where members of the public are being transported by sea, rail and air. We feel very deeply for the families of those who lost their lives in this accident.",
2011_102,014/13,KiwiRail,2013-09-26,"The Commission recommends that the Chief Executive of KiwiRail ensures that train control management has appropriate arrangements in place to:
- detect and manage stress and fatigue, including appropriate training and education; 
- remind train controllers about the importance of eating properly and regularly during their shifts; and
- 	provide train controllers with proper and regular rest breaks during their shifts.","The Commission recommends that the Chief Executive of KiwiRail ensures that train control management has appropriate arrangements in place to:
- detect and manage stress and fatigue, including appropriate training and education; 
- remind train controllers about the importance of eating properly and regularly during their shifts; and
- 	provide train controllers with proper and regular rest breaks during their shifts.",,"Recommendations 013/13, 014/13, 015/13 and 016/13 made to the Chief Executive of KiwiRail are accepted. Recommendation 017/13 directed to the Chief Executive of the NZ Transport Agency is noted. KiwiRail will begin discussions with the NZ Transport Agency on the strategies to implement these recommendations upon release of this report. Details on these strategies along with projected timeframes for implementation will be advised to the Commission.",
2011_102,017/13,NZTA,2013-09-26,The Commission recommends that the Chief Executive of the NZ Transport Agency takes all appropriate steps to ensure that KiwiRail addresses the above recommendations.,The Commission recommends that the Chief Executive of the NZ Transport Agency takes all appropriate steps to ensure that KiwiRail addresses the above recommendations.,,"Recommendations 013/13, 014/13, 015/13 and 016/13 that the Commission have directed to KiwiRail are noted. Recommendation 017/13 made to the Chief Executive of the NZ Transport Agency is accepted. Discussion on it will be initiated on the publication of the final report. These discussions will include a projected timeframe for implementation. This will be advised to TAIC in due course.",
2011_102,015/13,KiwiRail,2013-09-26,"The Commission recommends that the Chief Executive of KiwiRail ensures that appropriate protocols and/or arrangements are in place, and are being applied, to properly manage and coordinate routine and unplanned track infrastructure activity so that train controllers are able to perform their safety critical function without becoming unduly distracted or burdened.","The Commission recommends that the Chief Executive of KiwiRail ensures that appropriate protocols and/or arrangements are in place, and are being applied, to properly manage and coordinate routine and unplanned track infrastructure activity so that train controllers are able to perform their safety critical function without becoming unduly distracted or burdened.",,"Recommendations 013/13, 014/13, 015/13 and 016/13 made to the Chief Executive of KiwiRail are accepted. Recommendation 017/13 directed to the Chief Executive of the NZ Transport Agency is noted. KiwiRail will begin discussions with the NZ Transport Agency on the strategies to implement these recommendations upon release of this report. Details on these strategies along with projected timeframes for implementation will be advised to the Commission.",
2011_102,013/13,KiwiRail,2013-09-26,"The Commission recommends that the Chief Executive of KiwiRail ensures that train control management has:
- appropriate risk management protocols in place to assess and manage all risks associated with the train control function (including risks associated with merging train control desks), and that all relevant train control personnel are aware of these protocols and comply with them; and
- appropriate procedures in place to provide him and the Board of KiwiRail with assurance that train control is exercising an appropriate risk management approach to its operations.","The Commission recommends that the Chief Executive of KiwiRail ensures that train control management has:
- appropriate risk management protocols in place to assess and manage all risks associated with the train control function (including risks associated with merging train control desks), and that all relevant train control personnel are aware of these protocols and comply with them; and
- appropriate procedures in place to provide him and the Board of KiwiRail with assurance that train control is exercising an appropriate risk management approach to its operations.",,"Recommendations 013/13, 014/13, 015/13 and 016/13 made to the Chief Executive of KiwiRail are accepted. Recommendation 017/13 directed to the Chief Executive of the NZ Transport Agency is noted. KiwiRail will begin discussions with the NZ Transport Agency on the strategies to implement these recommendations upon release of this report. Details on these strategies along with projected timeframes for implementation will be advised to the Commission.",
2011_102,016/13,KiwiRail,2013-09-26,The Commission recommends that the Chief Executive of KiwiRail takes all appropriate steps to ensure that all rail vehicles travelling on the controlled rail network are electronically visible to train control.,The Commission recommends that the Chief Executive of KiwiRail takes all appropriate steps to ensure that all rail vehicles travelling on the controlled rail network are electronically visible to train control.,,"Recommendations 013/13, 014/13, 015/13 and 016/13 made to the Chief Executive of KiwiRail are accepted. Recommendation 017/13 directed to the Chief Executive of the NZ Transport Agency is noted. KiwiRail will begin discussions with the NZ Transport Agency on the strategies to implement these recommendations upon release of this report. Details on these strategies along with projected timeframes for implementation will be advised to the Commission.",
2013_104,020/13,KiwiRail,2013-08-13,"There were 2 safety issues identified with the Wellington maintenance depot processes:
- there were no individual task instructions on how each job was to be done
- there was no check sheet associated with each task to record that important steps and checks for the task had been completed.

Instead, the depot relied on the knowledge of the depot staff to complete each task satisfactorily.

These shortcomings in maintenance control could be indicators of other safety issues within the wider maintenance system at the Wellington maintenance depot.

On 13 August 2013 the Commission recommended that the Chief Executive of KiwiRail urgently address this safety issue by ensuring that at the Wellington maintenance depot, and other maintenance depots under KiwiRail control:
- maintenance is undertaken in accordance with good railway engineering practice
- manufacturersâ€™ inspection, repair and maintenance instructions are documented and followed
- safety-critical components are identified and documented
- work instructions are issued for maintaining all equipment
- work on safety-critical components is signed off by someone other than the person responsible for carrying out the maintenance work
- all maintenance work is recorded.","the Commission recommended that the Chief Executive of KiwiRail urgently address this safety issue by ensuring that at the Wellington maintenance depot, and other maintenance depots under KiwiRail control:
=======
- to persons operating an aircraft or a marine craft for recreational purposes.",
233,2011_102,014/13,"The Commission recommends that the Chief Executive of KiwiRail ensures that train control management has appropriate arrangements in place to:
- detect and manage stress and fatigue, including appropriate training and education; 
- remind train controllers about the importance of eating properly and regularly during their shifts; and
- 	provide train controllers with proper and regular rest breaks during their shifts.",
234,2011_102,017/13,The Commission recommends that the Chief Executive of the NZ Transport Agency takes all appropriate steps to ensure that KiwiRail addresses the above recommendations.,
235,2011_102,015/13,"The Commission recommends that the Chief Executive of KiwiRail ensures that appropriate protocols and/or arrangements are in place, and are being applied, to properly manage and coordinate routine and unplanned track infrastructure activity so that train controllers are able to perform their safety critical function without becoming unduly distracted or burdened.",
236,2011_102,013/13,"The Commission recommends that the Chief Executive of KiwiRail ensures that train control management has:
- appropriate risk management protocols in place to assess and manage all risks associated with the train control function (including risks associated with merging train control desks), and that all relevant train control personnel are aware of these protocols and comply with them; and
- appropriate procedures in place to provide him and the Board of KiwiRail with assurance that train control is exercising an appropriate risk management approach to its operations.",
237,2011_102,016/13,The Commission recommends that the Chief Executive of KiwiRail takes all appropriate steps to ensure that all rail vehicles travelling on the controlled rail network are electronically visible to train control.,
238,2013_104,020/13,"the Commission recommended that the Chief Executive of KiwiRail urgently address this safety issue by ensuring that at the Wellington maintenance depot, and other maintenance depots under KiwiRail control:
>>>>>>> origin/main
- maintenance is undertaken in accordance with good railway engineering practice
- manufacturersâ€™ inspection, repair and maintenance instructions are documented and followed
- safety-critical components are identified and documented
- work instructions are issued for maintaining all equipment
- work on safety-critical components is signed off by someone other than the person responsible for carrying out the maintenance work
- all maintenance work is recorded.","There were 2 safety issues identified with the Wellington maintenance depot processes:
- there were no individual task instructions on how each job was to be done
- there was no check sheet associated with each task to record that important steps and checks for the task had been completed.

Instead, the depot relied on the knowledge of the depot staff to complete each task satisfactorily.

These shortcomings in maintenance control could be indicators of other safety issues within the wider maintenance system at the Wellington maintenance depot.

<<<<<<< HEAD
On 13 August 2013 ","As a consequence of the derailment and our internal investigation the following actions have already been completed by the Wellington EMU [electric multiple unit] depot management:
1. Manufacturers' inspection, repair and maintenance instructions are documented and followed
Engineers audited the Ganz Mavag manufacturers' documentation on Friday 16 August to establish what information and/or references are required in documentation and work instructions
2. Safety critical components are identified and documented
Staff notice #24 has been issued to detail the safety critical jobs and the information is also in poster form around the depot.
3. Work instructions are issued for maintaining all equipment
Based on the audit of the Ganz manufacturers' documentation, work instructions for the Ganz fleet are being developed starting with the safety critical tasks. There are not currently work instructions for repairs.
4. Work on safety-critical components is signed off by someone other than the maintainer
Safety-critical tasks are now identified and individually checked and signed off by an appropriately qualified staff member who has not completed the job. Requirement for a counter-sign has been added to the work sheets.
5. All maintenance is recorded
SAP is used to record all maintenance and that data was supplied to TAIC [the Transport Accident Investigation Commission] during the investigation.

The TAIC preliminary report has also made a much more general recommendation that Maintenance is undertaken in accordance with good railway engineering practice. This is already the case as much as can be practicably expected within the profile of the railway fleet. It is unclear to us at this stage that it would be practical to, for example create detailed work instructions for locomotives that are in some cases several decades old. In some cases the assets will end their operational life before such a task could be completed. However, we will put in place a review of this and where it is practical to put this in place â€“ we will. Where it is not we will instead put in place the best practical mitigation.",
2013_104,021/13,NZTA,2013-08-13,"The Commission has made an urgent recommendation to the Chief Executive of KiwiRail that he ensure that at the Wellington maintenance depot, and other maintenance depots under KiwiRail control:
=======
On 13 August 2013 "
239,2013_104,021/13,The Commission recommends that the Chief Executive of the NZ Transport Agency take all appropriate steps to ensure that KiwiRail addresses the above recommendation.,"The Commission has made an urgent recommendation to the Chief Executive of KiwiRail that he ensure that at the Wellington maintenance depot, and other maintenance depots under KiwiRail control:
>>>>>>> origin/main
- maintenance is undertaken in accordance with good railway engineering practice
- manufacturers' inspection, repair and maintenance instructions are documented and followed
- safety-critical components are identified and documented
- work instructions are issued for maintaining all equipment
- work on safety-critical components is signed off by someone other than the maintainer
- all maintenance work is recorded.

It is important that KiwiRail addresses this urgent safety recommendation. The NZ Transport Agency has various powers under the Railways Act 2005 to monitor and ensure KiwiRailâ€™s performance and compliance.

<<<<<<< HEAD
The Commission recommends that the Chief Executive of the NZ Transport Agency take all appropriate steps to ensure that KiwiRail addresses the above recommendation.",The Commission recommends that the Chief Executive of the NZ Transport Agency take all appropriate steps to ensure that KiwiRail addresses the above recommendation.,"The Commission has made an urgent recommendation to the Chief Executive of KiwiRail that he ensure that at the Wellington maintenance depot, and other maintenance depots under KiwiRail control:
- maintenance is undertaken in accordance with good railway engineering practice
- manufacturers' inspection, repair and maintenance instructions are documented and followed
- safety-critical components are identified and documented
- work instructions are issued for maintaining all equipment
- work on safety-critical components is signed off by someone other than the maintainer
- all maintenance work is recorded.

It is important that KiwiRail addresses this urgent safety recommendation. The NZ Transport Agency has various powers under the Railways Act 2005 to monitor and ensure KiwiRailâ€™s performance and compliance.

","The urgent recommendation that the Commission have directed to the Chief Executive of KiwiRail is noted. The urgent recommendation made to the Chief Executive of the NZ Transport Agency is accepted. Discussions on it will be initiated with KiwiRail on the publication of the urgent recommendations. These discussions will include, where appropriate, a projected timeframe for implementation. This will be advised to TAIC in due course.",
2011_004,018/13,CAA,2013-07-25,"The findings from 2 separate inquiries show that general aviation maintenance practices in New Zealand are not always in accordance with Civil Aviation Rules or accepted industry practice. The findings show that non-compliance occurs in certificated maintenance organisations and by individual maintenance engineers exercising their individual licence privileges. This is an indication that the safety issue is not specific to just one sector of aviation maintenance. If left unchecked this situation is likely to have significant implications for aviation safety.

On 25 July 2013 the Commission recommended to the Director of Civil Aviation that he take action, in concert with the aviation industry, to improve the level of compliance with Civil Aviation Rules and conformance with industry best practice throughout the general aviation maintenance sector.","the Commission recommended to the Director of Civil Aviation that he take action, in concert with the aviation industry, to improve the level of compliance with Civil Aviation Rules and conformance with industry best practice throughout the general aviation maintenance sector.","The findings from 2 separate inquiries show that general aviation maintenance practices in New Zealand are not always in accordance with Civil Aviation Rules or accepted industry practice. The findings show that non-compliance occurs in certificated maintenance organisations and by individual maintenance engineers exercising their individual licence privileges. This is an indication that the safety issue is not specific to just one sector of aviation maintenance. If left unchecked this situation is likely to have significant implications for aviation safety.

On 25 July 2013 ","The CAA will not implement the recommendation as worded. However, the CAA will adopt the safety surveillance practices as described in our final draft report response letter 14 June 2013.

The relevant portion of the CAA letter of 14 June 2013 stated:

The CAA considers a recommendation that would address the relationship issues in terms of communications and record keeping between CAA Rule Part 43 maintenance providers and Part 135 AOC holders would be more effective. To this end, the CAA intends to profile Part 43 maintenance providers in order to identify poor performance or other risk issues.",
2011_004,019/13,CAA,2013-07-25,"The requirement for duplicate inspections after maintenance is performed on critical aircraft systems reduces the risk of a maintenance error remaining undetected and causing an accident. However, there are only a few specified control systems that are deemed critical and that require duplicate inspections. There are other important systems â€“ for example, the landing gear and brakes â€“ that are not subjected to the same level of scrutiny. This is a safety issue, particularly for aircraft used in air transport operations where the consequences of an accident could be greater.

The findings from 2 separate inquiries show that because duplicate inspections are currently confined to critical control systems only, the risk of undetected maintenance errors in important, but non-critical, aircraft systems is not sufficiently mitigated. This accident was a prime example of how maintenance errors that are made in an important system and that are not detected then or during subsequent maintenance can become causal factors in an accident. The risks were higher in this case because the relevant maintenance events had been performed by independent engineers on parts of an aeroplane sub-system that were not subject to duplicate inspections.

On 25 July 2013 the Commission recommended to the Director of Civil Aviation that he widen the range of aircraft systems that require duplicate checks after specified maintenance, at least for those aircraft used in air transport operations, in order to reduce the likelihood of recurring defects and incidents.","the Commission recommended to the Director of Civil Aviation that he widen the range of aircraft systems that require duplicate checks after specified maintenance, at least for those aircraft used in air transport operations, in order to reduce the likelihood of recurring defects and incidents.","The requirement for duplicate inspections after maintenance is performed on critical aircraft systems reduces the risk of a maintenance error remaining undetected and causing an accident. However, there are only a few specified control systems that are deemed critical and that require duplicate inspections. There are other important systems â€“ for example, the landing gear and brakes â€“ that are not subjected to the same level of scrutiny. This is a safety issue, particularly for aircraft used in air transport operations where the consequences of an accident could be greater.

The findings from 2 separate inquiries show that because duplicate inspections are currently confined to critical control systems only, the risk of undetected maintenance errors in important, but non-critical, aircraft systems is not sufficiently mitigated. This accident was a prime example of how maintenance errors that are made in an important system and that are not detected then or during subsequent maintenance can become causal factors in an accident. The risks were higher in this case because the relevant maintenance events had been performed by independent engineers on parts of an aeroplane sub-system that were not subject to duplicate inspections.

On 25 July 2013 ","The CAA considers that widening the scope of aircraft systems requiring duplicate inspections [is] not sufficiently supported by the Commission's investigation. In this regard, the CAA prefers to remain in keeping with current world regulatory practice and therefore will not implement the recommendation.",
2010_204,004/13,MNZ,2013-03-22,"The number of defects that are causing incidents and accidents in New Zealand pilotage waters is of concern. It is an indication that New Zealand port and harbour authorities cannot totally rely on the International Safety Management system to ensure that vessels transiting New Zealand ports are operated safely and efficiently. Minor technical defects and human performance issues are often lead indicators of deeper systemic safety issues on board a vessel. If the issues of mechanically unreliable vessels and substandard crew resource management on vessels operating into New Zealand ports are to be addressed, this will need to be done at a national level rather than individual ports dealing with the issues as they arise.

The Commission recommends that the Director of Maritime New Zealand consult port and harbour authorities and the New Zealand Maritime Pilots Association to develop a formal system for port and harbour authority employees to report vessel defects and crew performance issues. The purpose of the system should be to make information immediately available to maritime employees who can use the information to improve the safety of pilotage operations at subsequent ports. The purpose of the system should not be to replace the mandatory reporting of accidents and incidents, but instead to disseminate that information in a timely fashion to prevent similar accidents and incidents in the immediate future.","The Commission recommends that the Director of Maritime New Zealand consult port and harbour authorities and the New Zealand Maritime Pilots Association to develop a formal system for port and harbour authority employees to report vessel defects and crew performance issues. The purpose of the system should be to make information immediately available to maritime employees who can use the information to improve the safety of pilotage operations at subsequent ports. The purpose of the system should not be to replace the mandatory reporting of accidents and incidents, but instead to disseminate that information in a timely fashion to prevent similar accidents and incidents in the immediate future.","The number of defects that are causing incidents and accidents in New Zealand pilotage waters is of concern. It is an indication that New Zealand port and harbour authorities cannot totally rely on the International Safety Management system to ensure that vessels transiting New Zealand ports are operated safely and efficiently. Minor technical defects and human performance issues are often lead indicators of deeper systemic safety issues on board a vessel. If the issues of mechanically unreliable vessels and substandard crew resource management on vessels operating into New Zealand ports are to be addressed, this will need to be done at a national level rather than individual ports dealing with the issues as they arise.

","Maritime New Zealand has previously commented on the distribution of incident and accident notifications, and also on the monthly summaries, which are now posted on the Maritime New Zealand public website. TAIC was perhaps envisaging an arrangement whereby a pilot in one port who has a concern about a ship or becomes aware of an incident can immediately pass that information on to pilots and MNZ personnel at the next port of call so that appropriate action can be taken. 

Martime New Zealand understands that this is what already happens routinely and considers there is no need to formalise it. Maritime New Zealand's previous comment on this recommendations is set out below, and is reiterated in light of the above recommendation:

MNZ has online report system in place - this facilitates the notification of information including vessel defects and crew performance issues. The recent shift to a regional structure and the development of an intelligence and planning team has resulted in a more timely response to any information received. Furthermore, notifications received by MNZ are forwarded to the appropriate harbourmaster for their information as well as a monthly summary of all notifications. It is intended that these monthly summaries will in future be posted on MNZ's website making them more readily availably to Pilots, [this is now the case] Harbourmasters, Port Companies and any oter interested parties. Information sharing may also be supplemented by other available resources such as APCIS and Lloyds.",
2011_103,007/13,NZTA,2013-03-22,"The protection person was a user of cannabis. Although it could not be established scientifically that his performance was impaired by cannabis at the time of the incident, he did have a detectable level of THC-acid in his urine when he was tested after the incident.
Under no circumstances should the performance of any rail worker performing any safety-critical task be affected by alcohol or drugs of any kind. The Commission recommends that the Chief Executive of the NZ Transport Agency work with the National Rail System Standard Executive in developing a National Rail System Standard that requires all rail participants to have drug and alcohol policies that: have zero tolerance of performance-impairing substances for workers engaged in safety-critical tasks; require post-incident and accident and random testing for drugs and alcohol; and require a system for rail workers to report discreetly co-workers suspected of using or being under the influence of drugs or alcohol in the workplace.",The Commission recommends that the Chief Executive of the NZ Transport Agency work with the National Rail System Standard Executive in developing a National Rail System Standard that requires all rail participants to have drug and alcohol policies that: have zero tolerance of performance-impairing substances for workers engaged in safety-critical tasks; require post-incident and accident and random testing for drugs and alcohol; and require a system for rail workers to report discreetly co-workers suspected of using or being under the influence of drugs or alcohol in the workplace.,"The protection person was a user of cannabis. Although it could not be established scientifically that his performance was impaired by cannabis at the time of the incident, he did have a detectable level of THC-acid in his urine when he was tested after the incident.
Under no circumstances should the performance of any rail worker performing any safety-critical task be affected by alcohol or drugs of any kind. ","This recommendation is accepted. Discussion on it will be inititated on the publication of the final report. These discussions will include, where appropriate, a projected timeframe for implementation. This will be advised to TAIC in due course.",
