Investigation title,Investigation number,Investigation webpage,Occurrence date,Report status,Report release
"Fuel drum contamination, near Cloncurry Aerodrome, Queensland, on 7 September 2016",AO-2016-144,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ao-2016-144,07/09/2016,Final,22/04/2020
"Collision with terrain involving Air Tractor AT-502, VH-LIK, 50 km east of Walgett Airport, New South Wales, on 5 November 2016",AO-2016-146,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ao-2016-146,05/11/2016,Final,20/11/2018
"Loading related event involving Airbus A320, VH-VQC, Gold Coast Airport, Queensland, on 29 October 2016",AO-2016-145,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ao-2016-145,29/10/2016,Final,24/03/2017
"Near collision involving a Cessna 172S, VH-USL and parachutists, Lower Light (ALA), South Australia, on 6 November 2016",AO-2016-147,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ao-2016-147,06/11/2016,Final,17/01/2017
"Flight control system event involving Embraer 120, VH-YEI, Adelaide Airport, South Australia, on 25 October 2016",AO-2016-143,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ao-2016-143,25/10/2016,Final,24/05/2017
"Runway incursion involving Fokker F28 MK 100 and vehicle, Perth Airport, Western Australia, on 19 October 2016",AO-2016-140,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ao-2016-140,19/10/2016,Final,24/03/2017
"Misaligned take-off involving Beechcraft B200, VH-XGV, Brisbane Airport, Queensland, on 26 October 2016",AO-2016-142,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ao-2016-142,26/10/2016,Final,09/02/2017
"Collision with terrain involving Lockheed Martin Stalker XE VTOL UAS, Mount Disappointment, Victoria, on 24 October 2016",AO-2016-139,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ao-2016-139,24/10/2016,Final,27/04/2017
"Collision with terrain involving Lockheed Martin Stalker XE UAS, Avoca Race Track, Victoria, on 25 October 2016",AO-2016-141,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ao-2016-141,25/10/2016,Final,09/02/2017
"Tail skid contact, involving a Boeing 777, registered 9V-SYG, at Melbourne Airport, Victoria, on 9 October 2016",AO-2016-131,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ao-2016-131,09/10/2016,Final,27/04/2017
"Engine failure involving Fairchild SA227, VH-VEU, 170 km south of Brisbane, Queensland, on 12 October 2016",AO-2016-136,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ao-2016-136,12/10/2016,Final,09/02/2017
"Near collision involving Pilatus BN2, VH-IOA and Bombardier DHC-8, VH-ZZJ, Horn Island Airport, Queensland, on 12 October 2016",AO-2016-137,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ao-2016-137,12/10/2016,Final,09/02/2017
"Birdstrike and inflight vibration involving Boeing 747-438 ER, VH-OEH, near San Francisco International Airport, United States, on 6 October 2016",AO-2016-135,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ao-2016-135,06/10/2016,Final,29/06/2017
"Accredited representative to the United States National Transportation Safety Board investigation of the collision with terrain involving Fokker DR-1, registered N83WR, at Fulshear, Texas, United States, on 3 October 2016",AE-2016-133,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ae-2016-133,03/10/2016,Final,03/06/2017
"Wheels up landing involving Cessna 210, VH-UPN, Broome Airport, Western Australia, on 10 October 2016",AO-2016-134,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ao-2016-134,10/10/2016,Final,17/01/2017
"Loss of control involving remotely piloted aircraft Pulse Aerospace Vapor 55, 4 km north-east of Ballina/Byron Gateway Airport, New South Wales, on 27 September 2016",AO-2016-128,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ao-2016-128,27/09/2016,Final,17/01/2017
"Taxiing collision involving Boeing 717, VH-NXN and Fokker F28 MK 0100, VH-NHF, Paraburdoo Airport, Western Australia, on 5 October 2016",AO-2016-129,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ao-2016-129,05/10/2016,Final,17/01/2017
"Severe turbulence involving Bombardier DHC-8-402, VH-LQM, 72 km south-west of Canberra Airport, Australian Capital Territory, on 10 October 2016",AO-2016-132,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ao-2016-132,10/10/2016,Final,17/01/2017
"Near collision involving Cessna 210, VH-SQT, and Gippsland Aeronautics GA-8, VH-KNB, 50 km south of Jabiru Aerodrome, Northern Territory, on 22 September 2016",AO-2016-126,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ao-2016-126,22/09/2016,Final,14/12/2016
"Emergency evacuation involving Fokker F28, VH-NHY, Perth Airport, Western Australia, on 23 September 2016",AO-2016-125,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ao-2016-125,23/09/2016,Final,09/02/2017
"Engine failure involving Airbus A320, VH-VFY, 28 km north of Narrabri Airport, New South Wales, on 22 September 2016",AO-2016-123,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ao-2016-123,22/09/2016,Final,27/04/2017
"Animal strike and collision with terrain involving Robinson R22, VH-PFX, 15 km south of Coen, Queensland, on 18 September 2016",AO-2016-120,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ao-2016-120,18/09/2016,Final,14/12/2016
"Taxiing incident involving Airbus A330, 9M-XXK, Melbourne Airport, Victoria, on 9 September 2016",AO-2016-117,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ao-2016-117,09/09/2016,Final,09/02/2017
"Loading event involving Airbus A320, VH-VFN, Sydney Airport, New South Wales, on 8 September 2016",AO-2016-119,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ao-2016-119,08/09/2016,Final,14/12/2016
"Ground handling accident involving Cessna 172RG, VH-MKG, Parafield Airport, South Australia, on 11 September 2016",AO-2016-115,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ao-2016-115,11/09/2016,Final,24/02/2017
"Engine failure or malfunction involving Jabiru SP500, 19-5503, near Boonah, Queensland, on 11 September 2016",AO-2016-116,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ao-2016-116,11/09/2016,Final,14/12/2016
"Engine malfunction and in-flight shutdown involving Boeing 777, A6-EGA, 135 km north of Ceduna Aerodrome, South Australia, on 7 September 2016",AO-2016-113,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ao-2016-113,07/09/2016,Final,17/01/2017
"Hydraulic leak involving Boeing 787, 9V-OFG, Melbourne Airport, Victoria, on 8 September 2016",AO-2016-114,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ao-2016-114,08/09/2016,Final,14/12/2016
"Collision with terrain involving Jabiru J170, 24-5215, at Yarram Airfield, Victoria, on 7 September 2016",AO-2016-112,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ao-2016-112,07/09/2016,Final,31/07/2017
"Wirestrike involving Cessna 441, VH-NAX, Coorabie Airport, South Australia, on 5 September 2016",AO-2016-110,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ao-2016-110,05/09/2016,Final,14/12/2016
"Near collision due to runway incursion involving Van's RV-7, VH-VTZ and Glaser-Dirks DG-400 motor-glider, VH-XJZ, at Gympie ALA, Queensland, on 27 August 2016",AO-2016-111,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ao-2016-111,27/08/2016,Final,22/11/2016
"Take-offs without runway lighting involving Embraer ERJ-135, VH-JTG, Tamworth Airport, New South Wales, on 28 August 2016",AO-2016-108,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ao-2016-108,28/08/2016,Final,17/01/2017
"Separation issue involving Robinson R44, VH-EYD and Cessna 152, VH-MRC, Bankstown Airport, New South Wales, on 25 August 2016",AO-2016-107,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ao-2016-107,25/08/2016,Final,22/11/2016
"Engine failure and collision with terrain involving Van's RV-9A, VH-KLV, 39 km north-north-west of Albany Airport, Western Australia, on 4 September 2016",AO-2016-109,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ao-2016-109,04/09/2016,Final,22/11/2016
"Near collision involving Hawker Beechcraft Corporation B300C, VH-NAO and a work safety officer, Sydney Airport, New South Wales, on 16 August 2016",AO-2016-103,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ao-2016-103,16/08/2016,Final,24/03/2017
"Aircraft separation issues involving Embraer ERJ 190, VH-ZPJ, Gippsland Aeronautics GA-8, VH-XGA and Gippsland Aeronautics GA10, VH-XGY, near Mildura Airport, Victoria, on 31 May 2016",AO-2016-106,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ao-2016-106,31/05/2016,Final,17/01/2017
"In-flight engine shutdown involving Saab 340, VH-ZRJ, 19 km north of Ballina/Byron Gateway Airport, New South Wales, on 23 August 2016",AO-2016-104,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ao-2016-104,23/08/2016,Final,22/11/2016
"Runway incursion involving Airbus A320, VH-VGI and Fokker F27, VH-FKV, Adelaide Airport, South Australia, on 17 August 2016",AO-2016-102,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ao-2016-102,17/08/2016,Final,22/11/2016
"Engine failure involving Airbus A330, 9M-XXD, 445 km south-east of Alice Springs, South Australia, on 16 August 2016",AO-2016-101,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ao-2016-101,16/08/2016,Final,19/12/2019
"Forced landing involving a Cessna A188B, VH-BCT, near Hay Airport, New South Wales, on 9 August 2016",AO-2016-099,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ao-2016-099,09/08/2016,Final,09/02/2017
"Runway event involving Raytheon B200, VH-ZCJ, Tindal Airport, Northern Territory, on 9 August 2016",AO-2016-098,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ao-2016-098,09/08/2016,Final,22/11/2016
"Runway incursion and separation issue involving Gippsland Aeronautics GA-8, VH-BFL and Cessna 210, VH-NLV, Mitchell Plateau ALA, Western Australia, on 9 August 2016",AO-2016-097,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ao-2016-097,09/08/2016,Final,14/10/2016
"Technical assistance to the Safety Investigation Board of Pakistan, relating to an engine failure and runway excursion, involving a Beechcraft 1900D, AP-BII, Karachi, Pakistan, on 18 March 2016",AE-2016-094,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ae-2016-094,18/03/2016,Final,27/01/2017
"Depressurisation event involving de Havilland DHC-8-106, VH-XFP, 67 km north of Perth Airport, Western Australia, on 7 August 2016",AO-2016-093,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ao-2016-093,07/08/2016,Final,14/12/2016
"Engine shut down involving Boeing 787, VH-VKK, about 370 km north of Guam, on 6 August 2016",AO-2016-095,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ao-2016-095,06/08/2016,Final,14/12/2016
"Sling-load incident involving Aerospatiale Industries AS350, VH-BII, Lake Disappointment, Western Australia, on 23 May 2016",AO-2016-096,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ao-2016-096,23/05/2016,Final,22/11/2016
"Technical assistance to the PNG Accident Investigation Commission, collision with terrain involving Britten-Norman Islander, P2-SBC, Kiungra airport, Papua New Guinea, on 13 April 2016",AE-2016-043,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ae-2016-043,13/04/2016,Final,28/03/2017
"Technical assistance to CASA in the examination of Gippsland Aeronautics, GA-8 main landing gear axle fractures",AE-2016-045,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ae-2016-045,06/05/2016,Final,29/11/2016
"Loading event involving Embraer EMB-120, VH-ANQ, Darwin Airport, Northern Territory, on 6 August 2016",AO-2016-091,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ao-2016-091,06/08/2016,Final,22/11/2016
"Aircraft preparation event involving Airbus A330, VH-QPC, Brisbane Airport, Queensland, on 4 August 2016",AO-2016-092,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ao-2016-092,04/08/2016,Final,22/11/2016
"Low fuel and precautionary landing involving Cessna 172, VH-WKB, 30 km north of Broome Airport, Western Australia, on 1 August 2016",AO-2016-087,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ao-2016-087,01/08/2016,Final,14/10/2016
"Wheels up landing involving Beech 58, VH-UZO, at Gove Airport, Northern Territory, on 8 August 2016",AO-2016-089,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ao-2016-089,08/08/2016,Final,14/10/2016
"Wirestrike involving Robinson R22, VH-HRL, 63 km west of Blackall Airport, Queensland, on 27 July 2016",AO-2016-086,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ao-2016-086,27/07/2016,Final,14/10/2016
"Engine failure and forced landing involving Piper PA-28, VH-TAK, 3 km north-west of Bankstown Airport, New South Wales, on 21 July 2016",AO-2016-082,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ao-2016-082,21/07/2016,Final,14/10/2016
"Wirestrike and collision with terrain involving Schweizer 269C, VH-NTZ, Deloraine, Tasmania, 20 July 2016",AO-2016-081,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ao-2016-081,20/07/2016,Final,28/09/2016
"Loss of control and collision with terrain involving Cessna 182S, VH-PCO, Tooradin Airfield (ALA), Victoria, on 20 March 2016",AO-2016-023,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ao-2016-023,20/03/2016,Final,27/07/2016
"Fuel exhaustion and collision with terrain involving McDonnell Douglas Corporation 369, VH-PLY, 36 km north-west of Hawker, South Australia, on 17 July 2016",AO-2016-078,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ao-2016-078,17/07/2016,Final,02/08/2018
"Hard landing involving Kavanagh Balloons E-300, VH-LPG, near York, Western Australia, on 16 July 2016",AO-2016-080,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ao-2016-080,16/07/2016,Final,14/10/2016
"Loss of engine power and forced landing involving amateur built Europa, VH-BWI, near Bridport, Tasmania, on 17 July 2016",AO-2016-077,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ao-2016-077,17/07/2016,Final,01/08/2017
"Pilot incapacitation involving Cessna 208, VH-NTQ, near Horn Island, Queensland, 12 July 2016",AO-2016-075,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ao-2016-075,12/07/2016,Final,14/10/2016
"Loss of control and collision with terrain involving Cessna 150, VH-RXU, 270 km south-east of Alice Springs, Northern Territory, on 12 July 2016",AO-2016-074,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ao-2016-074,12/07/2016,Final,28/07/2017
"Wheels up landing involving Piper PA31, VH-ETW, Birdsville Airport, Queensland, on 4 July 2016",AO-2016-072,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ao-2016-072,06/07/2016,Final,14/12/2016
"Propeller failure involving de Havilland DH-82, VH-ARU, near Shute Harbour ALA, Queensland, on 2 July 2016",AO-2016-071,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ao-2016-071,02/07/2016,Final,22/11/2016
"Precautionary landing involving Cessna 150, VH-TDZ, and Cessna 152, VH-KTL, 22 km west-south-west of Exmouth (ALA), Western Australia, 3 July 2016",AO-2016-073,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ao-2016-073,03/07/2016,Final,28/09/2016
"Accredited representative to the Indonesian National Transportation Safety Committee investigation of the damage sustained by ATR 72 aircraft, registered PK-WGL",AE-2016-069,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ae-2016-069,27/06/2016,Final,19/02/2020
Technical assistance to CASA in the examination of a cracked Cessna 402C wing attach fitting,AE-2016-070,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ae-2016-070,30/06/2016,Final,04/10/2016
"Incorrect configuration involving Boeing 717, VH-YQV, Canberra Airport, Australian Capital Territory, on 20 June 2016",AO-2016-065,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ao-2016-065,20/06/2016,Final,28/09/2016
"Synthetic vision display error involving Pilatus PC-12, VH-OWA, Meekatharra Airport, Western Australia, 18 June 2016",AO-2016-064,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ao-2016-064,18/06/2016,Final,17/01/2017
"Flap cable failure and ground strike involving Airparts NZ FU-24, VH-TTD, 50 km east-south-east of Tamworth Airport, New South Wales, on 26 June 2016",AO-2016-067,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ao-2016-067,26/06/2016,Final,14/10/2016
"Personal electronic device fire in-flight involving Boeing 747, VH-OJS, 500 km west-north-west of John F. Kennedy International Airport, United States, on 21 June 2016",AO-2016-066,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ao-2016-066,21/06/2016,Final,28/09/2016
"Technical assistance to the NSW Coroner relating to accident involving Cessna C172L, VH-XZZ, on 21 March 2016",AE-2016-058,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ae-2016-058,21/03/2016,Final,14/02/2017
"Separation issue due to runway incursion involving Cessna 172, VH-EKV and Beech 58, VH-MLB, Alice Springs Airport, Northern Territory, on 16 June 2016",AO-2016-062,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ao-2016-062,16/06/2016,Final,14/10/2016
"Controlled flight into terrain involving Agusta A109, VH-XPB, Ellerston, New South Wales, 10 June 2016",AO-2016-060,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ao-2016-060,10/06/2016,Final,28/09/2016
"Flight below the minimum permitted altitude involving Boeing 737-376, VH-XMO, at Launceston Airport, Tasmania, on 17 June 2016",AO-2016-061,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ao-2016-061,17/06/2016,Final,28/11/2017
"Depressurisation involving Fokker F28, VH-NHF, 49 km west of Newman Airport, Western Australia, on 7 June 2016",AO-2016-057,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ao-2016-057,07/06/2016,Final,28/09/2016
"Engine failure involving Piper PA-28, VH-IPO, Mangalore Airport, Victoria, on 16 June 2016",AO-2016-059,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ao-2016-059,16/06/2016,Final,28/09/2016
"Runway incursion involving Fairchild SA227, VH-HPE, Richmond Airport, Queensland, on 7 June 2016",AO-2016-056,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ao-2016-056,07/06/2016,Final,14/10/2016
"Near collision involving Piper PA-32, VH-NKA and Cessna 210, VH-SQT, near Oenpelli Airport, Northern Territory, on 25 May 2016",AO-2016-054,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ao-2016-054,25/05/2016,Final,08/09/2016
"Loss of control and collision with terrain involving Cessna 206 floatplane, VH-NTK, 6 km south-east of Southport Airport, Queensland, on 5 June 2016",AO-2016-055,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ao-2016-055,05/06/2016,Final,25/08/2016
"Navigation event involving Kavanagh Balloons E-240, VH-VBM, Port Phillip Bay, Victoria, on 21 May 2016",AO-2016-052,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ao-2016-052,21/05/2016,Final,25/08/2016
"Near collision involving Piper PA-28, VH-MJT and Airbus Helicopters EC 130, VH-ZVO, Bankstown Airport, New South Wales, on 20 May 2016",AO-2016-053,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ao-2016-053,20/05/2016,Final,25/08/2016
"Near collision involving Robinson R22, VH-JKH and Cessna 182, VH-YKM, Ballina Byron Gateway Airport, New South Wales, on 22 April 2016",AO-2016-050,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ao-2016-050,22/04/2016,Final,08/09/2016
"Hard landing involving Maule MT-7, VH-DRS, near Noosa, Queensland, on 16 May 2016",AO-2016-049,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ao-2016-049,16/05/2016,Final,25/08/2016
"Smoke event involving Airbus A380, VH-OQD, about 1,500 km west-south-west of Dallas-Fort Worth Airport, United States, on 16 May 2016",AO-2016-051,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ao-2016-051,16/05/2016,Final,25/08/2016
"Engine nacelle strike and continued operation involving Boeing 737-8FE, VH-YIW, Faleolo Airport, Apia, Samoa on 23 April 2016",AO-2016-042,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ao-2016-042,23/04/2016,Final,30/06/2020
"Tailstrike involving Airbus A320, VH-VGF, at Melbourne Airport, Victoria, on 11 May 2016",AO-2016-046,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ao-2016-046,11/05/2016,Final,04/09/2017
"Loss of control involving Robinson R22, VH-WGB, 221 km east-north-east of Port Hedland Airport, Western Australia, on 12 May 2016",AO-2016-047,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ao-2016-047,12/05/2016,Final,25/08/2016
"Collision on ground involving Cessna 172, VH-EWZ and Cessna 172, VH-SYH, Moorabbin Airport, Victoria, on 13 May 2016",AO-2016-048,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ao-2016-048,13/05/2016,Final,25/08/2016
"Fire prior to passenger disembarkation involving Kavanagh Balloons B400, VH-WNV, near Cessnock Airport, New South Wales, on 24 April 2016",AO-2016-039,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ao-2016-039,24/04/2016,Final,28/09/2016
"Near collision involving Cessna 177RG, VH-OOJ and Cessna 172, VH-VSO, near Ballarat, Victoria, on 15 April 2016",AO-2016-041,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ao-2016-041,15/04/2016,Final,08/09/2016
"Near collision involving Robinson R22, VH-MFH and Lancair, VH-XCG, Ballina Byron Gateway Airport, New South Wales, on 22 April 2016",AO-2016-040,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ao-2016-040,22/04/2016,Final,08/09/2016
"Fuel starvation involving a Lancair ES, VH-DFH, 22 km north-west of Mansfield (ALA), Victoria, on 18 April 2016",AO-2016-037,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ao-2016-037,18/04/2016,Final,28/09/2016
"Near collision involving Pacific Aerospace CT4, VH-YCO and Piper PA-28, VH-WJZ, 24 km north-west of Gunnedah Airport, New South Wales, on 15 April 2016",AO-2016-035,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ao-2016-035,15/04/2016,Final,08/09/2016
"Near collision involving Morgan Cheetah, 19-5456 and Grob G115, VH-ZTA, 15 km north-west of Serpentine (ALA), Western Australia, on 15 April 2016",AO-2016-038,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ao-2016-038,15/04/2016,Final,08/09/2016
"Near collision involving Piper PA-28, VH-BYE and Cessna 152, VH-CRP, Bunbury Airport, Western Australia, on 15 April 2016",AO-2016-036,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ao-2016-036,15/04/2016,Final,08/09/2016
"Near collision involving Glaser-Dirks DG-1000 glider, VH-NDQ and Jabiru J170, 24-7750, Bathurst Airport, New South Wales, on 13 April 2016",AO-2016-034,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ao-2016-034,13/04/2016,Final,08/09/2016
"Near collision between Schempp-Hirth Janus glider, VH-GWQ and Rolladen-Schneider LS3-A glider, VH-CQP, Porepunkah (ALA), Victoria, on 28 March 2016",AO-2016-032,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ao-2016-032,28/03/2016,Final,08/09/2016
"Smoke and fumes event involving Boeing 787, N36962, 110 km east of Port Macquarie, New South Wales, on 17 April 2016",AO-2016-033,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ao-2016-033,17/04/2016,Final,25/08/2016
"Collision with terrain involving One Design DR-107, VH-EGT, Goolwa Airport, South Australia, on 10 October 2014",AO-2014-163,https://www.atsb.gov.au/publications/investigation_reports/2014/aair/ao-2014-163,10/10/2014,Final,14/04/2016
"Collision with water in dark night conditions involving Robinson R22 helicopter, VH-YLY, 6 km south of Cape Tribulation, Queensland, on 7 April 2016",AO-2016-031,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ao-2016-031,07/04/2016,Final,18/12/2017
"Collision with terrain involving de Havilland DH-82, VH-BJE, Redcliffe Airport, Queensland, on 3 April 2016",AO-2016-030,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ao-2016-030,03/04/2016,Final,25/08/2016
"VFR into IMC involving Piper PA-28, VH-BDB, 33 km west of Bankstown Airport, New South Wales, on 29 March 2016",AO-2016-029,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ao-2016-029,29/03/2016,Final,27/07/2016
"Collision with terrain involving Bell 206B helicopter, VH-WHU, near Carmila, Queensland, on 25 March 2016",AO-2016-027,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ao-2016-027,25/03/2016,Final,26/06/2017
"Ground handling occurrence involving Airbus A330, 9M-MTB, Melbourne Airport, Victoria, on 31 March 2016",AO-2016-028,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ao-2016-028,31/03/2016,Final,13/09/2016
"Engine fire involving a Fairchild SA227, VH-UZI, near Brisbane, Queensland, on 22 March 2016",AO-2016-026,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ao-2016-026,22/03/2016,Final,27/07/2016
"Collision with terrain involving a Robinson R22, VH-RGY, Richmond Airport, Queensland, on 21 March 2016",AO-2016-025,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ao-2016-025,21/03/2016,Final,27/07/2016
"VFR into IMC involving Cessna 172, VH-EOV, near Gold Coast Airport, Queensland, on 19 March 2016",AO-2016-024,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ao-2016-024,19/03/2016,Final,28/09/2016
"Runway incursion involving a Hawker Beechcraft Corporation B200, VH-FDG, at Blackall Airport, Queensland, on 28 February 2016",AO-2016-021,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ao-2016-021,28/02/2016,Final,25/08/2016
"Near collision between Fairchild SA227, VH-MYI and Cessna 150, VH-RZP, 31 km north of King Island Airport, Tasmania, on 28 February 2016",AO-2016-017,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ao-2016-017,28/02/2016,Final,27/07/2016
"Engine malfunction and collision with terrain involving a Piper PA-23, VH-BIQ, near Mareeba, Queensland, on 5 March 2016",AO-2016-019,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ao-2016-019,05/03/2016,Final,27/07/2016
"Technical aassistance to Recreational Aviation Australia in the examination of the engine and damaged GPS from the collision with terrain involving a Jabiru aircraft, 55-3692, at Medlow Bath, New South Wales, on 27 Feb 2016",AE-2016-018,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ae-2016-018,27/02/2016,Final,15/06/2016
Engine failures and malfunctions in light aeroplanes 2009 - 2014,AR-2013-107,https://www.atsb.gov.au/publications/investigation_reports/2013/aair/ar-2013-107,27/10/2022,Final,09/03/2016
"Near collision involving a Saab 340, VH-ZLA and a Glaser-Dirks glider, VH-IGC, near Orange Airport, New South Wales, on 21 February 2016",AO-2016-015,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ao-2016-015,21/02/2016,Final,08/09/2016
"Fumes event involving Airbus A320, VH-VNO, 211 km north of Melbourne Airport, Victoria, on 1 March 2016",AO-2016-016,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ao-2016-016,01/03/2016,Final,27/07/2016
"Wirestrike and collision with terrain involving a Robinson R22, VH-LYW, 88 km north-east of Roma, Queensland, on 20 February 2016",AO-2016-013,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ao-2016-013,20/02/2016,Final,30/05/2016
"Descent below segment minimum safe altitude during a non-precision instrument approach involving Airbus A320, PK-AXY, 17 km west-south-west of Perth Airport, Western Australia, on 19 February 2016",AO-2016-012,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ao-2016-012,19/02/2016,Final,16/01/2018
"Wirestrike involving a Kavanagh G-450 balloon, VH-RUW, Mareeba, Queensland, on 7 February 2016",AO-2016-008,https://www.atsb.gov.au/publications/investigation_reports/2016/aair/ao-2016-008,07/02/2016,Final,27/05/2016
